Ticker,Date/Time,Open,High,Low,Close,Volume
SET,28/05/2013,1594.03,1619.59,1593.02,1619.57,8460646400
SET,29/05/2013,1618.78,1624.87,1599.92,1601.61,9470203904
SET,30/05/2013,1589.90,1598.18,1577.88,1581.32,8821373952
SET,31/05/2013,1589.59,1595.12,1555.23,1562.07,8240233472
SET,03/06/2013,1556.51,1564.66,1535.77,1539.26,7442476544
SET,04/06/2013,1544.34,1556.97,1524.58,1555.61,9597693952
SET,05/06/2013,1547.06,1549.38,1522.66,1522.66,7634423808
SET,06/06/2013,1509.43,1511.16,1484.88,1490.21,12687632384
SET,07/06/2013,1483.86,1516.69,1483.75,1516.24,8089804288
SET,10/06/2013,1533.43,1539.35,1525.80,1528.55,6123282944
SET,11/06/2013,1518.73,1519.16,1447.65,1452.63,12578683904
SET,12/06/2013,1434.07,1457.68,1422.00,1433.47,9892584448
SET,13/06/2013,1382.29,1411.87,1351.95,1403.27,15446993920
SET,14/06/2013,1442.02,1465.65,1439.73,1465.27,9679086592
SET,17/06/2013,1470.13,1474.75,1448.13,1471.04,6851820544
SET,18/06/2013,1469.19,1492.28,1427.40,1427.42,11042684928
SET,19/06/2013,1443.33,1449.12,1415.00,1437.70,9456193536
SET,20/06/2013,1396.70,1413.39,1390.33,1402.19,10107516928
SET,21/06/2013,1377.15,1406.37,1354.62,1400.50,10650760192
SET,24/06/2013,1389.49,1404.85,1363.80,1364.09,10629316608
SET,25/06/2013,1373.35,1393.03,1338.81,1384.63,15252651008
SET,26/06/2013,1400.71,1425.01,1390.37,1424.38,10252366848
SET,27/06/2013,1450.64,1459.30,1419.64,1446.45,11657308160
SET,28/06/2013,1464.83,1468.74,1446.91,1451.90,9116361728
SET,02/07/2013,1464.76,1475.08,1452.77,1463.98,7598322688
SET,03/07/2013,1454.85,1463.90,1435.01,1443.57,9764143104
SET,04/07/2013,1450.36,1453.77,1423.94,1430.88,7644008960
SET,05/07/2013,1443.89,1446.83,1430.38,1441.33,5858386432
SET,08/07/2013,1425.13,1429.80,1404.46,1404.64,6558064640
SET,09/07/2013,1408.03,1417.94,1398.45,1398.69,6935941632
SET,10/07/2013,1402.02,1406.32,1375.52,1388.41,8267251712
SET,11/07/2013,1409.37,1447.04,1408.49,1447.04,9883710464
SET,12/07/2013,1454.76,1459.55,1441.96,1453.71,15565734912
SET,15/07/2013,1463.81,1464.72,1449.54,1455.40,15943663616
SET,16/07/2013,1453.60,1456.43,1437.11,1451.45,8578319872
SET,17/07/2013,1457.98,1463.65,1452.69,1458.08,8067227648
SET,18/07/2013,1465.00,1487.31,1464.73,1487.19,10807344128
SET,19/07/2013,1489.30,1489.66,1475.59,1481.84,15268312064
SET,23/07/2013,1501.68,1513.32,1497.59,1513.31,9115882496
SET,24/07/2013,1512.23,1519.21,1496.88,1501.36,13077250048
SET,25/07/2013,1493.58,1494.56,1456.52,1456.68,14494908416
SET,26/07/2013,1461.30,1476.71,1445.28,1476.71,9204111360
SET,29/07/2013,1461.95,1462.97,1451.77,1454.28,6365267456
SET,30/07/2013,1458.47,1465.27,1435.44,1435.44,11236081664
SET,31/07/2013,1436.56,1437.39,1403.08,1423.14,12087539712
SET,01/08/2013,1437.58,1443.65,1425.51,1437.51,6226070528
SET,02/08/2013,1440.43,1442.17,1408.57,1420.94,7867918336
SET,05/08/2013,1416.78,1427.93,1405.71,1424.31,4710744576
SET,06/08/2013,1411.97,1440.25,1409.87,1429.39,9338271744
SET,07/08/2013,1420.11,1434.98,1417.43,1429.99,5983726080
SET,08/08/2013,1439.76,1455.08,1439.10,1447.16,8697591808
SET,09/08/2013,1446.26,1446.47,1430.41,1432.25,7138656256
SET,13/08/2013,1443.25,1459.08,1442.08,1459.08,7519886336
SET,14/08/2013,1457.25,1462.66,1451.71,1460.63,8241676288
